"","ID","Mz"
"383",383,"021809000100300020"
"384",384,"021809000100300021A"
"385",385,"021809000100300022A"
"386",386,"021809000100300023A"
"387",387,"021809000100300024A"
"388",388,"021809000100300039"
"389",389,"021809000100300040A"
"390",390,"021809000100300041"
"391",391,"021809000100300042A"
"392",392,"021809000100400049"
"393",393,"021809000100400050B"
"394",394,"021809000100400035"
"395",395,"021809000100400036"
"396",396,"021809000100400037"
"397",397,"021809000100400042"
"398",398,"021809000100400043"
"399",399,"021809000100400045"
"400",400,"021809000100400047"
"401",401,"021809000100400044"
"402",402,"021809000100501023"
"403",403,"021809000100501024"
"404",404,"021809000100501025A"
"405",405,"021809000100501026"
"406",406,"021809000100501027"
"407",407,"021809000100400041"
"408",408,"021809000100300007A"
"409",409,"021809000100501030"
"410",410,"021809000100501029"
"411",411,"021809000100501028"
"412",412,"021809000100501031A"
"413",413,"021809000100501033"
"414",414,"021809000100501035"
"415",415,"021809000100501034"
"416",416,"021809000100501037"
"417",417,"021809000100501036"
"418",418,"021809000100501038"
"419",419,"021809000100501039"
"420",420,"021809000100501040"
"421",421,"021809000100501041"
"422",422,"021809000100501042"
"423",423,"021809000100200042"
"424",424,"021809000100200043"
"425",425,"021809000100200044"
"426",426,"021809000100200045"
"427",427,"021809000100200046A"
"428",428,"021809000100300027C"
"429",429,"021809000100300029C"
"430",430,"021809000100300030"
"431",431,"021809000100300031"
"432",432,"021809000100300032"
"433",433,"021809000100300033"
"434",434,"021809000100300035"
"435",435,"021809000100300036A"
"436",436,"021809000100300037"
"437",437,"021809000100300038"
"438",438,"021809000100501043"
"439",439,"021809000100501044"
"440",440,"021809000100501046"
"441",441,"021809000100500002A"
"442",442,"021809000100500002"
"443",443,"021809000100500010"
"444",444,"021809000100500010A"
"445",445,"021809000100501047"
"446",446,"021809000100501048"
"447",447,"021809000100501049"
"448",448,"021809000100501055"
"449",449,"021809000100501053"
"450",450,"021809000100501054"
"451",451,"021809000100501050"
"452",452,"021809000100501052"
"453",453,"021809000100501051"
"454",454,"021809000100100038"
"455",455,"021809000100100039"
"456",456,"021809000100100040"
"457",457,"021809000100100041E"
"458",458,"021809000100100044"
"459",459,"021809000100100045"
"460",460,"021809000100100046"
"461",461,"021809000100200019C"
"462",462,"021809000100200019A"
"463",463,"021809000100200018"
"464",464,"021809000100200020"
"465",465,"021809000100200021"
"466",466,"021809000100500021B"
"467",467,"021809000100100017A"
"468",468,"021809000100100018A"
"469",469,"021809000100100018B"
"470",470,"021809000100100018C"
"471",471,"021809000100500025A"
"472",472,"021809000100500025"
"473",473,"021809000100500032A"
"474",474,"021809000100500032"
"475",475,"021809000100500058"
"476",476,"021809000100500058A"
"477",477,"021809000100500054A"
"478",478,"021809000100500054"
"479",479,"021809000100200005A"
"480",480,"021809000100200006A"
"481",481,"021809000100300006"
"482",482,"021809000100300004C"
"483",483,"021809000100300004B"
"484",484,"021809000100200047A"
"485",485,"021809000100200048B"
"486",486,"021809000100200049A"
"487",487,"021809000100200050A"
"488",488,"021809000100200051A"
"489",489,"021809000100200053B"
"490",490,"021809000100200054A"
"491",491,"021809000100200056D"
"492",492,"021809000100200056B"
"493",493,"021809000100200058"
"494",494,"021809000100200059"
"495",495,"021809000100200037"
"496",496,"021809000100200034"
"497",497,"021809000100200035C"
"498",498,"021809000100300026"
"499",499,"021809000100100001G"
"500",500,"021809000100100001L"
"501",501,"021809000100200033B"
"502",502,"021809000100200036C"
"503",503,"021809000100200036A"
"504",504,"021809000100200036B"
"505",505,"021809000100100016G"
"506",506,"021809000100200031B"
"507",507,"021809000100200041A"
"508",508,"021809000100200041B"
"509",509,"021809000100200048C"
"510",510,"021809000100300025H"
"511",511,"021809000100300025A"
"512",512,"021809000100300057"
"513",513,"021809000100300059A"
"514",514,"021809000100200038B"
"515",515,"021809000100200038C"
"516",516,"021809000100200053A"
"517",517,"021809000100200056F"
"518",518,"021809000100300028"
"519",519,"021809000100100042C"
"520",520,"021809000100100012R"
"521",521,"021809000100100012K"
"522",522,"021809000100100012L"
"523",523,"021809000100100012M"
"524",524,"021809000100100012N"
"525",525,"021809000100100012O"
"526",526,"021809000100100012J"
"527",527,"021809000100100013D"
"528",528,"021809000100100013C"
"529",529,"021809000100100018E"
"530",530,"021809000100100018F"
"531",531,"021809000100100018K"
"532",532,"021809000100100018N"
"533",533,"021809000100100018M"
"534",534,"021809000100100018L"
"535",535,"021809000100100018G"
"536",536,"021809000100100018T"
"537",537,"021809000100100018H"
"538",538,"021809000100100018I"
"539",539,"021809000100100018J"
"540",540,"021809000100100018O"
"541",541,"021809000100401001"
"542",542,"021809000100401002"
"543",543,"021809000100401008"
"544",544,"021809000100401007"
"545",545,"021809000100401003"
"546",546,"021809000100401005"
"547",547,"021809000100401004"
"548",548,"021809000100401022"
"549",549,"021809000100401013"
"550",550,"021809000100401018"
"551",551,"021809000100401015"
"552",552,"021809000100401020"
"553",553,"021809000100401019"
"554",554,"021809000100401017"
"555",555,"021809000100401016"
"556",556,"021809000100401023"
"557",557,"021809000100401009"
"558",558,"021809000100401010"
"559",559,"021809000100401011"
"560",560,"021809000100401012"
"561",561,"021809000100401006"
"562",562,"021809000100401021"
"563",563,"021809000100401014"
"564",564,"021809000100401024"
"565",565,"021809000100401025"
"566",566,"021809000100401026"
"567",567,"021809000100401027"
"568",568,"021809000100401033"
"569",569,"021809000100401032"
"570",570,"021809000100401031"
"571",571,"021809000100401030"
"572",572,"021809000100401029"
"573",573,"021809000100401028"
"574",574,"021809000100503035A"
"575",575,"021809000100503035B"
"576",576,"021809000100503035C"
"577",577,"021809000100502013A"
"578",578,"021809000100502013B"
"579",579,"021809000100501034A"
"580",580,"021809000100501034B"
"581",581,"021809000100501001A"
"582",582,"021809000100501018A"
"583",583,"021809000100501019B"
"584",584,"021809000100501019A"
"585",585,"021809000100501019C"
"586",586,"021809000100503007A"
"587",587,"021809000100503031A"
"588",588,"021809000100503015E"
"589",589,"021809000100503015D"
"590",590,"021809000100503005A"
"591",591,"021809000100503005B"
"592",592,"021809000100503002A"
"593",593,"021809000100503002B"
"594",594,"021809000100503002C"
"595",595,"021809000100500059"
"596",596,"021809000100500059F"
"597",597,"021809000100500059E"
"598",598,"021809000100500059C"
"599",599,"021809000100500059D"
"600",600,"021809000100503001A"
"601",601,"021809000100503001B"
"602",602,"021809000100503001C"
"603",603,"021809000100503007E"
"604",604,"021809000100503007D"
"605",605,"021809000100503007B"
"606",606,"021809000100503007C"
"607",607,"021809000100503007F"
"608",608,"021809000100503007G"
"609",609,"021809000100503007H"
"610",610,"021809000100501012A"
"611",611,"021809000100501012C"
"612",612,"021809000100501012B"
"613",613,"021809000100501012D"
"614",614,"021809000100501012E"
"615",615,"021809000100501012F"
"616",616,"021809000100501012H"
"617",617,"021809000100501006A"
"618",618,"021809000100501006B"
"619",619,"021809000100501006C"
"620",620,"021809000100501006D"
"621",621,"021809000100501006F"
"622",622,"021809000100501006G"
"623",623,"021809000100501006E"
"624",624,"021809000100501006H"
"625",625,"021809000100501006I"
"626",626,"021809000100501001B"
"627",627,"021809000100501001C"
"628",628,"021809000100501001D"
"629",629,"021809000100300051C"
"630",630,"021809000100300051D"
"631",631,"021809000100300051E"
"632",632,"021809000100300051F"
"633",633,"021809000100500023C"
"634",634,"021809000100500023D"
"635",635,"021809000100100009A"
"636",636,"021809000100400025A"
"637",637,"021809000100501015A"
"638",638,"021809000101000062A"
"639",639,"021809000101000054"
"640",640,"021809000101000054A"
"641",641,"021809000100900048"
"642",642,"021809000100900048A"
"643",643,"021809000100900040B"
"644",644,"021809000100800050A"
"645",645,"021809000100800050"
"646",646,"021809000100800051A"
"647",647,"021809000100800051"
"648",648,"021809000100600048A"
"649",649,"021809000100600043A"
"650",650,"021809000100600044"
"651",651,"021809000100600047"
"652",652,"021809000100600046"
"653",653,"021809000100600045"
"654",654,"021809000100600038"
"655",655,"021809000100600036"
"656",656,"021809000100600035"
"657",657,"021809000100700001F"
"658",658,"021809000100700028"
"659",659,"021809000100800012"
"660",660,"021809000100600017B"
"661",661,"021809000100600041"
"662",662,"021809000100600016A"
"663",663,"021809000100800042"
"664",664,"021809000100800043"
"665",665,"021809000100800045"
"666",666,"021809000100700027"
"667",667,"021809000100700024"
"668",668,"021809000100700023"
"669",669,"021809000100700020"
"670",670,"021809000100700002"
"671",671,"021809000100700003"
"672",672,"021809000100700004"
"673",673,"021809000100700006B"
"674",674,"021809000100700007"
"675",675,"021809000100700005"
"676",676,"021809000100700017"
"677",677,"021809000100700009"
"678",678,"021809000100600033"
"679",679,"021809000100600034A"
"680",680,"021809000100600031A"
"681",681,"021809000100600052"
"682",682,"021809000100600059"
"683",683,"021809000100600053"
"684",684,"021809000100600053A"
"685",685,"021809000100600051A"
"686",686,"021809000100600054A"
"687",687,"021809000100600057"
"688",688,"021809000100600058"
"689",689,"021809000100600055"
"690",690,"021809000100600049A"
"691",691,"021809000100900007A"
"692",692,"021809000100900006"
"693",693,"021809000100900007"
"694",694,"021809000100900005"
"695",695,"021809000100900001"
"696",696,"021809000100900002"
"697",697,"021809000100900003"
"698",698,"021809000100900004"
"699",699,"021809000100900020"
"700",700,"021809000100900019"
"701",701,"021809000100900018"
"702",702,"021809000100600041A"
"703",703,"021809000100600042"
"704",704,"021809000100600040A"
"705",705,"021809000100600039A"
"706",706,"021809000101000018"
"707",707,"021809000101000019"
"708",708,"021809000101000020"
"709",709,"021809000101000021"
"710",710,"021809000101000022"
"711",711,"021809000101000023"
"712",712,"021809000101000024"
"713",713,"021809000100800027A"
"714",714,"021809000100800028"
"715",715,"021809000100800027"
"716",716,"021809000100900057"
"717",717,"021809000100900061"
"718",718,"021809000100700026"
"719",719,"021809000100700021"
"720",720,"021809000100700037A"
"721",721,"021809000100600001A"
"722",722,"021809000100800023"
"723",723,"021809000100900023"
"724",724,"021809000101000001B"
"725",725,"021809000101000001C"
"726",726,"021809000101000001D"
"727",727,"021809000101000002A"
"728",728,"021809000101000002B"
"729",729,"021809000100600001"
"730",730,"021809000100600002"
"731",731,"021809000100600006"
"732",732,"021809000100600005"
"733",733,"021809000100600003"
"734",734,"021809000100600004A"
"735",735,"021809000101000040"
"736",736,"021809000101000041"
"737",737,"021809000101000042"
"738",738,"021809000101000044"
"739",739,"021809000101000043"
"740",740,"021809000101000045"
"741",741,"021809000101000047"
"742",742,"021809000101000048"
"743",743,"021809000101000049"
"744",744,"021809000101000050"
"745",745,"021809000101000051"
"746",746,"021809000101000052"
"747",747,"021809000101000053"
"748",748,"021809000101000055"
"749",749,"021809000101000056A"
"750",750,"021809000101000057"
"751",751,"021809000101000058"
"752",752,"021809000101000059A"
"753",753,"021809000101000061"
"754",754,"021809000101000062B"
"755",755,"021809000101000063"
"756",756,"021809000101000001A"
"757",757,"021809000100700037"
"758",758,"021809000100700025"
"759",759,"021809000100700038"
"760",760,"021809000100700036A"
"761",761,"021809000100700029"
"762",762,"021809000100700033"
"763",763,"021809000100700030"
"764",764,"021809000100700031"
"765",765,"021809000100700032"
"766",766,"021809000100700032A"
"767",767,"021809000100700035"
"768",768,"021809000100700034"
"769",769,"021809000100700054"
"770",770,"021809000100700001A"
"771",771,"021809000100700001B"
"772",772,"021809000100600018"
"773",773,"021809000100600020"
"774",774,"021809000100600025A"
"775",775,"021809000100600023"
"776",776,"021809000100600024"
"777",777,"021809000101000025"
"778",778,"021809000101000026"
"779",779,"021809000101000027"
"780",780,"021809000101000028"
"781",781,"021809000101000029"
"782",782,"021809000101000030"
"783",783,"021809000101000031"
"784",784,"021809000100900041"
"785",785,"021809000100900059"
"786",786,"021809000100900060"
"787",787,"021809000101000002D"
"788",788,"021809000101000003A"
"789",789,"021809000101000004"
"790",790,"021809000100800059"
"791",791,"021809000100800047B"
"792",792,"021809000100700052A"
"793",793,"021809000100700052"
"794",794,"021809000100700053"
"795",795,"021809000100700051"
"796",796,"021809000100700050"
"797",797,"021809000100700049"
"798",798,"021809000100700049A"
"799",799,"021809000100700048"
"800",800,"021809000100700047"
"801",801,"021809000100700046"
"802",802,"021809000100700045"
"803",803,"021809000100700044"
"804",804,"021809000100700041"
"805",805,"021809000100700043"
"806",806,"021809000100700042"
"807",807,"021809000100800001"
"808",808,"021809000100800009"
"809",809,"021809000100800010"
"810",810,"021809000100800002A"
"811",811,"021809000100800006"
"812",812,"021809000100600018A"
"813",813,"021809000100600026"
"814",814,"021809000100600027"
"815",815,"021809000100600022"
"816",816,"021809000100600022A"
"817",817,"021809000100600020A"
