fid,UBIGEO,CODDPTO,NOMBDPTO,CODPROV,NOMBPROV,CODDIST,NOMBDIST,CODCCPP,NOMCCPP,CODZONA,SUFZONA,CODMZNA,SUFMZNA,CIUDAD,IDMANZANA,ID
"2627","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","004",A,CHIMBOTE,02180902102004A,"2627"
"2628","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","004",,CHIMBOTE,"02180902102004","2628"
"2629","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","005",A,CHIMBOTE,02180902102005A,"2629"
"2630","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","005",,CHIMBOTE,"02180902102005","2630"
"2631","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","012",A,CHIMBOTE,02180902102012A,"2631"
"2632","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","012",,CHIMBOTE,"02180902102012","2632"
"2633","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","020",A,CHIMBOTE,02180902102020A,"2633"
"2634","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","020",B,CHIMBOTE,02180902102020B,"2634"
"2635","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","020",C,CHIMBOTE,02180902102020C,"2635"
"2636","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","020",,CHIMBOTE,"02180902102020","2636"
"2637","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","021",A,CHIMBOTE,02180902102021A,"2637"
"2638","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","021",,CHIMBOTE,"02180902102021","2638"
"2639","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","024",A,CHIMBOTE,02180902102024A,"2639"
"2640","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","024",,CHIMBOTE,"02180902102024","2640"
"2641","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","026",A,CHIMBOTE,02180902102026A,"2641"
"2642","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","026",,CHIMBOTE,"02180902102026","2642"
"2643","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","027",A,CHIMBOTE,02180902102027A,"2643"
"2644","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","027",,CHIMBOTE,"02180902102027","2644"
"2645","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","028",B,CHIMBOTE,02180902102028B,"2645"
"2646","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","028",A,CHIMBOTE,02180902102028A,"2646"
"2647","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","029",A,CHIMBOTE,02180902102029A,"2647"
"2648","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","029",,CHIMBOTE,"02180902102029","2648"
"2649","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","030",A,CHIMBOTE,02180902102030A,"2649"
"2650","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","030",,CHIMBOTE,"02180902102030","2650"
"2651","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","031",A,CHIMBOTE,02180902102031A,"2651"
"2652","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","031",,CHIMBOTE,"02180902102031","2652"
"2653","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","034",,CHIMBOTE,"02180902102034","2653"
"2654","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","034",B,CHIMBOTE,02180902102034B,"2654"
"2655","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","034",A,CHIMBOTE,02180902102034A,"2655"
"2656","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","034",D,CHIMBOTE,02180902102034D,"2656"
